'hood	an urban, often lower-income inner-city area
's Gravenhage	the site of the royal residence and the de facto capital in the western part of the Netherlands; seat of the International Court of Justice
'tween	in between
'tween decks	in the space between decks, on a ship
.22	a .22 caliber firearm (pistol or rifle)
.22 caliber	of or relating to the bore of a gun (or its ammunition) that measures twenty-two hundredths of an inch in diameter
.22 calibre	of or relating to the bore of a gun (or its ammunition) that measures twenty-two hundredths of an inch in diameter
.22-caliber	of or relating to the bore of a gun (or its ammunition) that measures twenty-two hundredths of an inch in diameter
.22-calibre	of or relating to the bore of a gun (or its ammunition) that measures twenty-two hundredths of an inch in diameter
.38 caliber	of or relating to the bore of a gun (or its ammunition) that measures thirty-eight hundredths of an inch in diameter
.38 calibre	of or relating to the bore of a gun (or its ammunition) that measures thirty-eight hundredths of an inch in diameter
.38-caliber	of or relating to the bore of a gun (or its ammunition) that measures thirty-eight hundredths of an inch in diameter
.38-calibre	of or relating to the bore of a gun (or its ammunition) that measures thirty-eight hundredths of an inch in diameter
.45 caliber	of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter
.45 calibre	of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter
.45-caliber	of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter
.45-calibre	of or relating to the bore of a gun (or its ammunition) that measures forty-five hundredths of an inch in diameter
0	a mathematical element that when added to another number yields the same number | indicating the absence of any or all units under consideration
1	used of a single unit or thing; not two or more | the smallest whole number or a numeral representing this number
1 Chronicles	the first of two Old Testament books telling the history of Judah and Israel until the return from the Babylonian Captivity in 536 BC
1 Esdras	an Apocryphal book consisting of a compilation from I Chronicles and II Chronicles and Ezra and Nehemiah
1 Kings	the first of two Old Testament books telling the histories of the kings of Judah and Israel
1 Maccabees	an Apocryphal book describing the life of Judas Maccabaeus, tells how the Greek ruler Antiochus IV Epiphanes attempted to suppress the practice of basic Jewish law, resulting in a Jewish revolt against Seleucid rule
1 Samuel	the first of two books in the Old Testament that tell of Saul and David
1-dodecanol	a colorless insoluble solid alcohol used to make detergents and pharmaceuticals
1-hitter	a game in which a pitcher allows the opposing team only one hit
10	being one more than nine | the cardinal number that is the sum of nine and one; the base of the decimal system
10-membered	of a chemical compound having a ring with ten members
100	being ten more than ninety | ten 10s
100 mL	100 mL of liquor, drunk from a shot glass.
1000	denoting a quantity consisting of 1,000 items or units | the cardinal number that is the product of 10 and 100
10000	the cardinal number that is the product of ten and one thousand
100000	the cardinal number that is the fifth power of ten
1000000	the number that is represented as a one followed by 6 zeros
1000000000	the number that is represented as a one followed by 9 zeros
1000000000000	the number that is represented as a one followed by 12 zeros | the number that is represented as a one followed by 12 zeros; in the United Kingdom the usage followed in the United States is frequently seen
1000th	the ordinal number of one thousand in counting order
100th	the ordinal number of one hundred in counting order
101	being one more than one hundred
101st	the ordinal number of one hundred one in counting order
105	being five more than one hundred
105th	the ordinal number of one hundred five in counting order
10th	coming next after the ninth and just before the eleventh in position
11	being one more than ten | the cardinal number that is the sum of ten and one
11 November	the feast of Saint Martin; a quarter day in Scotland
11-plus	(formerly in Britain) an examination taken by 11 and 12 year old students to select suitable candidates for grammar school
110	being ten more than one hundred
110th	the ordinal number of one hundred ten in counting order
115	being five more than one hundred ten
115th	the ordinal number of one hundred fifteen in counting order
11th	coming next after the tenth and just before the twelfth in position
12	being one more than eleven | the cardinal number that is the sum of eleven and one
12-tone music	a type of serial music introduced by Arnold Schoenberg; uses a tone row formed by the twelve semitones of the chromatic scale (and inverted or backward versions of the row)
12-tone system	a type of serial music introduced by Arnold Schoenberg; uses a tone row formed by the twelve semitones of the chromatic scale (and inverted or backward versions of the row)
120	the cardinal number that is the product of ten and twelve | being ten more than one hundred ten
120th	the ordinal number of one hundred twenty in counting order
125	being five more than one hundred twenty
125th	the ordinal number of one hundred twenty-five in counting order
12th	coming next after the eleventh and just before the thirteenth in position
13	being one more than twelve | the cardinal number that is the sum of twelve and one
130	being ten more than one hundred twenty
130th	the ordinal number of one hundred thirty in counting order
135	being five more than one hundred thirty
135th	the ordinal number of one hundred thirty-five in counting order
13th	coming next after the twelfth in position
14	being one more than thirteen | the cardinal number that is the sum of thirteen and one
14 July	a legal holiday in France celebrating the storming of the Paris bastille in 1789
140	being ten more than one hundred thirty
140th	the ordinal number of one hundred forty in counting order
144	twelve dozen
145	being five more than one hundred forty
145th	the ordinal number of one hundred forty-five in counting order
14th	coming next after the thirteenth in position
15	being one more than fourteen | the cardinal number that is the sum of fourteen and one
15 August 1945	the date of Allied victory over Japan, World War II
15 May Organization	a terrorist organization formed in 1979 by a faction of the Popular Front for the Liberation of Palestine but disbanded in the 1980s when key members left to join a faction of al-Fatah
15 minutes	a quarter of an hour
150	being ten more than one hundred forty
150th	the ordinal number of one hundred fifty in counting order
1530s	the decade from 1530 to 1539
155	being five more than one hundred fifty
155th	the ordinal number of one hundred fifty-five in counting order
15th	coming next after the fourteenth and just before the sixteenth in position
16	being one more than fifteen | the cardinal number that is the sum of fifteen and one
16 PF	a self-report personality inventory developed by Raymond B. Cattell to measure the 16 personality dimensions that emerged from his factor analysis of a wide range of traits
160	being ten more than one hundred fifty
160th	the ordinal number of one hundred sixty in counting order
165	being five more than one hundred sixty
165th	the ordinal number of one hundred sixty-five in counting order
16th	coming next after the fifteenth in position
17	being one more than sixteen | the cardinal number that is the sum of sixteen and one
17 November	a Marxist-Leninist terrorist organization in Greece that is violently opposed to imperialism and capitalism and NATO and the United States; an active terrorist group during the 1980s
170	being ten more than one hundred sixty
170th	the ordinal number of one hundred seventy in counting order
1728	a cardinal number equal to one dozen gross
175	being five more than one hundred seventy
1750s	the decade from 1750 to 1759
175th	the ordinal number of one hundred seventy-five in counting order
1760s	the decade from 1760 to 1769
1770s	the decade from 1770 to 1779
1780s	the decade from 1780 to 1789
1790s	the decade from 1790 to 1799
17th	coming next after the sixteenth in position
18	being one more than seventeen | the cardinal number that is the sum of seventeen and one
18-karat gold	an alloy that contains 75 per cent gold
180	being ten more than one hundred seventy
180th	the ordinal number of one hundred eighty in counting order
1820s	the decade from 1820 to 1829
1830s	the decade from 1830 to 1839
1840s	the decade from 1840 to 1849
1850s	the decade from 1850 to 1859
1860s	the decade from 1860 to 1869
1862 Apollo	an asteroid whose orbit crosses the Earth's orbit
1870s	the decade from 1870 to 1879
1880s	the decade from 1880 to 1889
1890s	the decade from 1890 to 1899
18th	coming next after the seventeenth in position
