abstraction	abstract; generalization, generalisation; abstractedness
abstract entity	abstraction
object	physical object; aim, objective, target
physical object	object
whole	wholly, entirely, completely, totally, all, altogether, right; unit; unharmed, unhurt, unscathed
unit	unit of measurement; social unit; building block
living thing	animate thing
animate thing	living thing
organism	being
being	beingness, existence, face of the earth; organism
causal agent	cause, causal agency
cause	do, make; induce, stimulate, have, get, make; reason, grounds
causal agency	causal agent, cause
person	individual, someone, somebody, mortal, soul
individual	person, someone, somebody, mortal, soul; single, case-by-case, item-by-item; single
someone	person, individual, somebody, mortal, soul
somebody	person, individual, someone, mortal, soul
mortal	person, individual, someone, somebody, soul; deadly; deadly, deathly
soul	psyche; person, individual, someone, somebody, mortal; soulfulness
animal	animate being, beast, brute, creature, fauna; carnal, fleshly, sensual
animate being	animal, beast, brute, creature, fauna
beast	animal, animate being, brute, creature, fauna; wolf, savage, brute, wildcat
brute	beast, wolf, savage, wildcat; beastly, bestial, brutish, brutal; animal, animate being, beast, creature, fauna
creature	animal, animate being, beast, brute, fauna; wight; tool, puppet
fauna	zoology; animal, animate being, beast, brute, creature
plant	works, industrial plant; flora, plant life; set
flora	vegetation, botany; plant, plant life
plant life	plant, flora
food	nutrient; food for thought, intellectual nourishment
nutrient	food; alimentary, alimental, nourishing, nutritious, nutritive
artifact	artefact
artefact	artifact
cognition	knowledge, noesis
knowledge	cognition, noesis
noesis	cognition, knowledge
motivation	motive, need; motivating
motive	motivation, need; motor; motif
need	necessitate, ask, postulate, require, take, involve, call for, demand; want, require; demand
shape	form, configuration, contour, conformation; determine, mold, influence, regulate, mould; form
form	word form, signifier, descriptor; kind, sort, variety; shape, pattern
space	infinite; outer space; blank
infinite	space; non-finite, nonfinite; countless, innumerable, innumerous, multitudinous, myriad, numberless, uncounted, unnumberable, unnumbered, unnumerable
process	procedure; cognitive process, mental process, operation, cognitive operation; treat
physical process	process
act	enactment; move; deed, human action, human activity
deed	deed of conveyance, title; act, human action, human activity
human action	act, deed, human activity
human activity	act, deed, human action
group	grouping; radical, chemical group; aggroup
grouping	group; pigeonholing
measure	mensurate, measure out; quantify; evaluate, valuate, assess, appraise, value
quantity	measure, amount
amount	sum, sum of money, amount of money; measure, quantity; sum, total
kindness	forgivingness; benignity
benignity	benignancy, graciousness; kindness
abdominoplasty	tummy tuck
tummy tuck	abdominoplasty
accomplishment	achievement; skill, acquirement, acquisition, attainment
achievement	accomplishment
beachhead	foothold
foothold	bridgehead; footing; beachhead
feat	effort, exploit
effort	attempt, endeavor, endeavour, try; elbow grease, exertion, travail, sweat; feat, exploit
exploit	work; tap; feat, effort
course	course of study, course of instruction, class; line; trend
course of action	course
interchange	reciprocation, give-and-take; exchange; substitute, replace, exchange
reciprocation	interchange, give-and-take
give-and-take	discussion, word; banter, raillery, backchat; interchange, reciprocation
cross-fertilization	cross-fertilisation
cross-fertilisation	cross-fertilization
dealings	traffic; relations; transaction, dealing
traffic	dealings
play	drama, dramatic play; act, represent; spiel
swordplay	play
acquiring	getting
getting	acquiring
causing	causation
causation	causing
delivery	bringing; manner of speaking, speech; livery, legal transfer
obstetrical delivery	delivery
departure	going, going away, leaving; deviation, divergence, difference; passing, loss, exit, expiration, going, release
going	departure, going away, leaving; passing, loss, departure, exit, expiration, release; sledding
going away	departure, going, leaving
leaving	departure, going, going away
discovery	find, uncovering; breakthrough, find
find	happen, chance, bump, encounter; detect, observe, discover, notice; regain
uncovering	denudation, stripping, baring, husking; discovery, find
disposal	administration; disposition; electric pig, garbage disposal
disposition	temperament; disposal; inclination, tendency
implementation	execution, carrying out; effectuation
effectuation	implementation
egress	emersion; emergence, issue; egression, emergence
egression	egress, emergence
emergence	outgrowth, growth; egress, issue; emersion
equalization	equalisation, leveling
equalisation	equalization, leveling
leveling	grading; razing, tearing down, demolishing; equalization, equalisation
exhumation	disinterment, digging up
disinterment	exhumation, digging up
digging up	exhumation, disinterment
mitzvah	mitsvah
mitsvah	mitzvah
propulsion	actuation
actuation	propulsion
rally	beat up, drum up; mass meeting; call up, mobilize, mobilise
rallying	rally
recovery	convalescence, recuperation; retrieval
retrieval	recovery
touch	touching; stir; sense of touch, skin senses, touch modality, cutaneous senses
touching	affecting, poignant; touch
record	enter, put down; phonograph record, phonograph recording, disk, disc, platter; tape
track record	record
fait accompli	accomplished fact
accomplished fact	fait accompli
sledding	going
arrival	reaching; arriver, comer
reaching	reach, stretch; arrival
advent	coming; Second Coming, Second Coming of Christ, Second Advent, Parousia
coming	approaching, forthcoming, upcoming; approach, approaching; advent
entrance	entranceway, entryway, entry, entree; entering; entering, entry, ingress, incoming
entering	entrance; entrance, entry, ingress, incoming
entry	introduction, debut, first appearance, launching, unveiling; accounting entry, ledger entry; submission
ingress	immersion; entrance, entering, entry, incoming
incoming	entrance, entering, entry, ingress
registration	enrollment, enrolment; enrollment; adjustment, readjustment
enrollment	registration, enrolment; registration
enrolment	registration, enrollment
emersion	egress; emergence
reappearance	return
return	tax return, income tax return; render; revert, retrovert, regress, turn back
homecoming	return
interpenetration	permeation
permeation	pervasion, suffusion; interpenetration
docking	moorage, dockage, tying up
moorage	mooring, berth, slip; docking, dockage, tying up
dockage	docking fee; dock, docking facility; docking, moorage, tying up
tying up	docking, moorage, dockage
forced landing	emergency landing
emergency landing	forced landing
farewell	word of farewell; leave, leave-taking, parting
leave	go forth, go away; leave alone, leave behind, let alone; exit, go out, get out
leave-taking	farewell, leave, parting
parting	farewell, leave, leave-taking; part
disappearance	disappearing; fade
disappearing	disappearance
effacement	self-effacement
self-effacement	effacement
retirement	retreat
retreat	withdraw, pull away, draw back, recede, pull back, retire, move back; hideaway; retirement
medical evacuation	medevac, medivac
medevac	medical evacuation, medivac
medivac	medical evacuation, medevac
desertion	abandonment, defection; abandonment, forsaking
abandonment	forsaking, desertion; desertion, defection
defection	desertion, abandonment; apostasy, renunciation
abscondment	decampment
decampment	abscondment
absence without leave	unauthorized absence
unauthorized absence	absence without leave
emigration	out-migration, expatriation
out-migration	emigration, expatriation
